gene_id	gene_symbol	gene_biotype	description
ENSRNOG00000037206	Ccdc77	protein_coding	coiled-coil domain containing 77 [Source:RGD Symbol;Acc:1310710]
ENSRNOG00000010452	LOC100363502	protein_coding	"cytochrome c, somatic-like [Source:RGD Symbol;Acc:2322845]"
ENSRNOG00000011762	Elf1	protein_coding	E74 like ETS transcription factor 1 [Source:RGD Symbol;Acc:620697]
ENSRNOG00000020388	Inpp5f	protein_coding	inositol polyphosphate-5-phosphatase F [Source:RGD Symbol;Acc:1305777]
ENSRNOG00000013306	Pcdh20	protein_coding	protocadherin 20 [Source:RGD Symbol;Acc:1306297]
ENSRNOG00000029386	RT1-N2	protein_coding	"RT1 class Ib, locus N2 [Source:RGD Symbol;Acc:1595850]"
ENSRNOG00000047106	Mtrf1	protein_coding	mitochondrial translation release factor 1 [Source:RGD Symbol;Acc:1584329]
ENSRNOG00000011815	Sgk1	protein_coding	serum/glucocorticoid regulated kinase 1 [Source:RGD Symbol;Acc:3668]
ENSRNOG00000047706	LOC103690108	protein_coding	"class I histocompatibility antigen, Non-RT1.A alpha-1 chain-like [Source:RGD Symbol;Acc:9113230]"
ENSRNOG00000047300	Bdkrb2	protein_coding	bradykinin receptor B2 [Source:RGD Symbol;Acc:2201]
ENSRNOG00000012594	Sugt1	protein_coding	"SGT1 homolog, MIS12 kinetochore complex assembly cochaperone [Source:RGD Symbol;Acc:1307550]"
ENSRNOG00000026051	AABR07044362.1	unprocessed_pseudogene	NA
ENSRNOG00000014090	Retsat	protein_coding	retinol saturase [Source:RGD Symbol;Acc:628802]
ENSRNOG00000003203	Hexim1	protein_coding	HEXIM P-TEFb complex subunit 1 [Source:RGD Symbol;Acc:1559851]
ENSRNOG00000009987	Akap11	protein_coding	A-kinase anchoring protein 11 [Source:RGD Symbol;Acc:2079]
ENSRNOG00000062036	AABR07044362.7	processed_pseudogene	NA
ENSRNOG00000009565	Pdk4	protein_coding	pyruvate dehydrogenase kinase 4 [Source:RGD Symbol;Acc:69061]
ENSRNOG00000016950	Otud1	protein_coding	OTU deubiquitinase 1 [Source:RGD Symbol;Acc:1563344]
ENSRNOG00000027645	Syndig1l	protein_coding	synapse differentiation inducing 1-like [Source:RGD Symbol;Acc:1589004]
ENSRNOG00000045924	RT1-T24-3	protein_coding	"RT1 class I, locus T24, gene 3 [Source:RGD Symbol;Acc:1624211]"
ENSRNOG00000028658	Olig2	protein_coding	oligodendrocyte transcription factor 2 [Source:RGD Symbol;Acc:1307098]
ENSRNOG00000031065	AC120486.2	unprocessed_pseudogene	"RT1 class I, locus M1, 2 [Source:NCBI gene;Acc:414786]"
ENSRNOG00000003674	Pir	protein_coding	pirin [Source:RGD Symbol;Acc:1359212]
ENSRNOG00000028774	Vgll3	protein_coding	vestigial-like family member 3 [Source:RGD Symbol;Acc:1560030]
ENSRNOG00000005519	Grm3	protein_coding	glutamate metabotropic receptor 3 [Source:RGD Symbol;Acc:2744]
ENSRNOG00000025970	AABR07068127.1	pseudogene	U3 small nucleolar RNA-associated  B-like [Source:NCBI gene;Acc:102551819]
ENSRNOG00000012975	Ggcx	protein_coding	gamma-glutamyl carboxylase [Source:RGD Symbol;Acc:68383]
ENSRNOG00000011678	Wbp4	protein_coding	WW domain binding protein 4 [Source:RGD Symbol;Acc:620033]
ENSRNOG00000016163	Slc1a3	protein_coding	solute carrier family 1 member 3 [Source:RGD Symbol;Acc:3698]
ENSRNOG00000012906	Bcas1	protein_coding	breast carcinoma amplified sequence 1 [Source:RGD Symbol;Acc:628644]
ENSRNOG00000018700	Mobp	protein_coding	myelin-associated oligodendrocyte basic protein [Source:RGD Symbol;Acc:3101]
ENSRNOG00000051196	AABR07018038.1	protein_coding	NA
ENSRNOG00000013876	Mipep	protein_coding	mitochondrial intermediate peptidase [Source:RGD Symbol;Acc:621680]
ENSRNOG00000059900	Bst2	protein_coding	bone marrow stromal cell antigen 2 [Source:RGD Symbol;Acc:727849]
ENSRNOG00000003288	Cacng5	protein_coding	calcium voltage-gated channel auxiliary subunit gamma 5 [Source:RGD Symbol;Acc:628805]
ENSRNOG00000059770	AABR07044383.1	protein_coding	NA
ENSRNOG00000023708	Tmem176a	protein_coding	transmembrane protein 176A [Source:RGD Symbol;Acc:1310725]
ENSRNOG00000004964	Erbb3	protein_coding	erb-b2 receptor tyrosine kinase 3 [Source:RGD Symbol;Acc:69323]
