row_name	Sample_126043	Sample_126044	Sample_126045	Sample_126046	Sample_126048	Sample_126049	Sample_126050	Sample_126051	Sample_126052	Sample_126053	Sample_126054	Sample_126055	Sample_126056	Sample_126057	Sample_126058	Sample_126059	Sample_126065	Sample_126066	Sample_126067	Sample_126068	Sample_126069	Sample_126070	Sample_127119	Sample_127120	Sample_127121
ENSRNOG00000046319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000047964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000050370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000032365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000040300	0	0	0	0	0	0	0	1	0	3	0	0	0	0	2	0	0	0	2	0	0	1	5	0	0
ENSRNOG00000058808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000061316	1	1	0	1	4	0	1	7	5	4	2	1	2	6	4	0	0	7	3	7	0	7	2	3	8
ENSRNOG00000050129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSRNOG00000040316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000023659	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000029897	24	12	5	4	5	2	0	29	18	12	7	12	17	25	6	4	1	31	32	33	27	27	21	12	21
ENSRNOG00000042852	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
ENSRNOG00000061806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000055877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000014303	4891	4248	3745	3159	2727	2067	806	7687	7494	5954	5173	4690	4228	9592	2651	1833	499	9669	14254	10547	11722	13486	15314	11564	10530
ENSRNOG00000051899	2	1	0	0	1	0	0	0	0	0	0	1	0	1	3	0	0	1	1	0	2	1	1	0	0
ENSRNOG00000014330	1351	991	1226	951	785	681	297	2340	2411	2165	1711	1370	1132	2951	707	473	163	2651	4966	3380	4180	4747	5165	3762	3660
ENSRNOG00000049505	73	86	55	61	37	33	9	130	114	87	79	69	77	148	56	35	3	149	199	138	165	173	253	218	174
ENSRNOG00000014916	1479	1338	664	634	522	371	163	2246	1494	1033	1305	1342	1387	2342	649	450	132	3261	2824	1913	2293	2541	2458	2027	2214
ENSRNOG00000014996	137	97	93	69	66	35	12	178	155	152	138	128	111	214	54	54	15	235	287	239	235	265	332	288	235
ENSRNOG00000015239	331	309	126	138	135	81	44	499	320	195	268	282	259	491	126	117	23	661	595	430	495	577	633	588	424
ENSRNOG00000055508	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSRNOG00000053710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000015552	1357	1321	689	603	498	397	160	1757	1350	796	1154	1155	1153	1917	691	350	117	2644	1913	1960	1459	1633	2058	2369	1495
ENSRNOG00000016041	4	4	3	3	3	7	0	14	6	12	15	7	13	19	0	2	0	15	12	21	17	13	23	15	14
ENSRNOG00000016054	2066	2018	895	783	672	487	197	2794	1846	1378	1640	1696	1757	2814	969	612	168	4475	3770	2443	3075	3584	4055	3296	3016
ENSRNOG00000016381	193	186	104	80	70	47	27	337	188	167	137	135	171	279	87	81	16	388	428	278	385	507	874	479	683
ENSRNOG00000054005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000059137	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000013160	2575	2324	1626	1416	1087	868	360	3911	3069	2658	2391	2247	2220	4530	1433	1086	270	4934	5951	4510	5141	5375	6837	5314	4910
ENSRNOG00000052788	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000023549	283	239	204	173	137	107	39	460	401	286	297	202	278	762	176	99	33	469	788	470	558	482	890	547	805
ENSRNOG00000031859	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000013351	6232	5186	3607	3126	2705	1951	762	9051	6950	5774	5712	5248	5214	9500	2736	1786	632	12865	13121	10184	11733	12069	11318	9506	9163
ENSRNOG00000061755	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSRNOG00000053182	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000042741	66	62	50	38	20	25	6	114	78	40	122	67	59	86	22	14	5	222	125	68	127	216	15	13	13
ENSRNOG00000014258	26	31	16	14	14	15	3	47	32	24	23	25	38	52	12	10	4	45	45	60	44	54	64	34	48
ENSRNOG00000057302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000014290	2375	1923	1372	819	1004	538	353	3367	2426	1877	2414	1771	1686	3219	1175	765	249	4767	4463	4228	3818	5054	4392	3703	3033
ENSRNOG00000041566	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	4	1	1	0	0	3	6	2
ENSRNOG00000014431	9	3	3	3	5	1	3	16	13	12	15	11	8	20	4	0	1	16	21	19	15	25	27	17	19
ENSRNOG00000014450	1370	1226	786	590	545	402	198	1996	1573	1045	1255	1168	1219	2085	694	406	130	2857	2498	2049	2154	2315	2304	1909	1999
ENSRNOG00000014852	160	164	75	73	76	33	20	300	150	73	184	117	160	255	75	63	16	328	210	235	155	200	253	232	268
ENSRNOG00000052274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000040242	108	111	82	87	49	31	29	202	157	166	161	119	157	269	59	41	9	230	371	262	293	374	369	174	353
ENSRNOG00000054906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000058048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000051844	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000053880	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000011058	1565	1724	803	681	595	520	177	2428	1522	1321	1303	1420	1481	2414	744	678	142	3860	3375	2252	3143	3681	3606	2382	3194
ENSRNOG00000014902	9	12	8	2	3	6	0	14	13	7	3	8	5	18	9	7	1	25	18	21	32	32	14	17	17
ENSRNOG00000014908	529	394	406	338	294	204	95	816	698	774	541	453	386	1079	254	167	45	842	2032	1085	1534	1996	2266	1741	1285
ENSRNOG00000036310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000025587	41	146	70	160	38	90	8	304	371	178	209	334	108	254	127	68	12	184	259	356	155	191	138	70	163
ENSRNOG00000042705	2	0	0	0	0	0	0	0	0	2	0	1	1	1	0	0	0	0	0	0	1	1	1	1	0
ENSRNOG00000043188	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	1	1	0	3	0
ENSRNOG00000015217	399	358	206	220	139	138	60	529	460	365	365	348	383	733	196	104	22	754	865	602	648	789	916	765	668
ENSRNOG00000015473	115	391	92	134	98	37	26	834	299	166	389	326	399	503	129	141	21	845	1269	302	851	1136	305	149	227
ENSRNOG00000015551	422	434	272	250	188	155	51	680	607	466	379	358	348	722	214	147	39	941	1154	696	950	1107	1233	917	836
ENSRNOG00000015660	615	486	261	253	242	163	58	800	570	437	547	471	443	846	251	177	32	1063	929	814	766	915	1188	1030	834
ENSRNOG00000046983	48	41	33	35	20	23	10	79	61	77	62	46	38	80	21	18	5	105	181	88	128	161	192	107	107
